Grade,Tensile Strength (MPa),Yield Strength (MPa),Elongation in 50 mm (%),Reduction in Area (%),HV (GPa),"Carbon, C","Chromium, Cr","Iron, Fe","Manganese, Mn","Nickel, Ni","Nitrogen, N","Phosphorus, P","Silicon, Si","Sulfur, S","Molybdenum, Mo","Boron, B","Titanium, Ti",Nb,Ta,"Lead, Pb","Vanadium, V"
347,655.0,275.0,45.0,45.8,9.203853211,0.08,17.0,68.0,2.0,11.0,,0.045,1.0,0.03,,,,0.4,0.4,,
347,620.0,240.0,50.0,65.0,15.49439348,0.08,17.0,68.0,2.0,11.0,,0.045,1.0,0.03,,,,0.4,0.4,,
384,690.0,450.0,40.0,60.0,20.53007136,0.08,16.0,63.0,2.0,18.0,,0.045,1.0,0.03,,,,,,,
384,515.0,240.0,55.0,72.0,7.786422018,0.08,16.0,63.0,2.0,18.0,,0.045,1.0,0.03,,,,,,,
304,585.0,235.0,60.0,70.0,14.42915392,0.505,0.525,97.8307,0.875,,,0.035,0.225,0.04,,0.0018,,,,,
304,690.0,415.0,45.0,45.8,20.53007136,0.505,0.525,97.8307,0.875,,,0.035,0.225,0.04,,0.0018,,,,,
304,860.0,655.0,25.0,45.8,26.63098879,0.505,0.525,97.8307,0.875,,,0.035,0.225,0.04,,0.0018,,,,,
305,585.0,260.0,50.0,45.8,8.731376147,0.12,18.0,67.0,2.0,12.0,,0.045,1.0,0.03,,,,,,,
308,585.0,205.0,55.0,65.0,14.52599388,0.08,20.0,66.0,2.0,11.0,,0.045,1.0,0.03,,,,,,,
309,655.0,275.0,45.0,65.0,9.014862385,0.2,23.0,60.0,2.0,14.0,,0.045,1.0,0.03,,,,,,,
310,620.0,310.0,45.0,45.8,9.203853211,0.25,25.0,52.59,2.0,20.5,,0.045,1.5,0.03,,,,,,,
310,655.0,275.0,45.0,65.0,15.49439348,0.25,25.0,52.59,2.0,20.5,,0.045,1.5,0.03,,,,,,,
314,689.0,345.0,45.0,60.0,17.43119266,0.25,24.5,51.59,2.0,20.5,,0.045,2.25,0.03,,,,,,,
316,580.0,290.0,50.0,45.8,8.636880734,0.08,17.0,66.9,2.0,12.0,,0.045,1.0,0.03,2.5,,,,,,
316,550.0,240.0,60.0,70.0,14.42915392,0.08,17.0,66.9,2.0,12.0,,0.045,1.0,0.03,2.5,,,,,,
316,620.0,415.0,45.0,65.0,18.39959225,0.08,17.0,66.9,2.0,12.0,,0.045,1.0,0.03,2.5,,,,,,
317,620.0,275.0,45.0,45.8,9.203853211,0.08,19.0,62.925,2.0,13.0,,0.045,1.0,0.03,3.5,,,,,,
317,585.0,275.0,50.0,45.8,15.49439348,0.08,19.0,62.925,2.0,13.0,,0.045,1.0,0.03,3.5,,,,,,
321,620.0,240.0,45.0,45.8,8.731376147,0.08,18.0,69.525,2.0,10.5,,0.045,1.0,0.03,,,0.4,,,,
321,585.0,240.0,55.0,65.0,14.52599388,0.08,18.0,69.525,2.0,10.5,,0.045,1.0,0.03,,,0.4,,,,
321,655.0,415.0,40.0,60.0,17.91539246,0.08,18.0,69.525,2.0,10.5,,0.045,1.0,0.03,,,0.4,,,,
330,585.0,290.0,45.0,45.8,8.731376147,0.08,19.0,42.0,2.0,36.0,,0.04,1.13,0.03,,,,,,,
201,1035.0,760.0,12.0,45.8,11.09072375,0.15,17.0,71.255,6.5,4.5,0.25,0.06,1.0,0.03,,,,,,,
201,1275.0,965.0,8.0,45.8,14.20998981,0.15,17.0,71.255,6.5,4.5,0.25,0.06,1.0,0.03,,,,,,,
201,1550.0,1480.0,1.0,45.8,14.90316004,0.15,17.0,71.255,6.5,4.5,0.25,0.06,1.0,0.03,,,,,,,
302,620.0,275.0,55.0,45.8,8.731376147,0.17,,99.035,0.75,,,0.04,,0.05,,,,,,,
302,860.0,515.0,12.0,45.8,8.664627931,0.17,,99.035,0.75,,,0.04,,0.05,,,,,,,
302,585.0,240.0,60.0,70.0,8.731376147,0.17,,99.035,0.75,,,0.04,,0.05,,,,,,,
303,620.0,240.0,50.0,55.0,15.49439348,0.15,18.0,69.0,2.0,9.0,,0.2,1.0,0.15,0.6,,,,,,
303,690.0,415.0,40.0,53.0,22.0795107,0.15,18.0,69.0,2.0,9.0,,0.2,1.0,0.15,0.6,,,,,,
1006,295.0,165.0,30.0,55.0,8.328236493,0.08,,99.59,0.325,,,0.04,,0.05,,,,,,,
1006,330.0,285.0,20.0,45.0,9.199796126,0.08,,99.59,0.325,,,0.04,,0.05,,,,,,,
1008,305.0,170.0,30.0,55.0,8.328236493,0.1,,99.505,0.4,,,0.04,,0.05,,,,,,,
1008,340.0,285.0,20.0,45.0,9.199796126,0.1,,99.505,0.4,,,0.04,,0.05,,,,,,,
1010,325.0,180.0,28.0,50.0,9.199796126,0.105,,99.4,0.45,,,0.04,,0.05,,,,,,,
1010,365.0,305.0,20.0,40.0,10.16819572,0.105,,99.4,0.45,,,0.04,,0.05,,,,,,,
1012,330.0,185.0,28.0,50.0,9.199796126,0.125,,99.38,0.45,,,0.04,,0.05,,,,,,,
1012,370.0,310.0,19.0,40.0,10.16819572,0.125,,99.38,0.45,,,0.04,,0.05,,,,,,,
1015,345.0,190.0,28.0,50.0,9.780835882,0.155,,99.35,0.45,,,0.04,,0.05,,,,,,,
1015,385.0,325.0,18.0,40.0,10.74923547,0.155,,99.35,0.45,,,0.04,,0.05,,,,,,,
1016,380.0,205.0,25.0,50.0,10.65239551,0.15,,99.355,0.75,,,0.04,,0.05,,,,,,,
1016,420.0,350.0,18.0,40.0,11.71763507,0.15,,99.355,0.75,,,0.04,,0.05,,,,,,,
1017,365.0,200.0,26.0,50.0,10.16819572,0.17,,99.335,0.45,,,0.04,,0.05,,,,,,,
1017,405.0,340.0,18.0,40.0,11.23343527,0.17,,99.335,0.45,,,0.04,,0.05,,,,,,,
1018,400.0,220.0,25.0,50.0,11.23343527,0.17,,99.035,0.75,,,0.04,,0.05,,,,,,,
1018,440.0,370.0,15.0,40.0,12.20183486,0.17,,99.035,0.75,,,0.04,,0.05,,,,,,,
1019,405.0,225.0,25.0,50.0,11.23343527,0.17,,98.935,0.85,,,0.04,,0.05,,,,,,,
1019,455.0,380.0,15.0,40.0,12.68603466,0.17,,98.935,0.85,,,0.04,,0.05,,,,,,,
1020,380.0,205.0,25.0,50.0,10.74923547,0.2,,99.305,0.45,,,0.04,,0.05,,,,,,,
1020,420.0,350.0,15.0,40.0,11.71763507,0.2,,99.305,0.45,,,0.04,,0.05,,,,,,,
1021,420.0,230.0,24.0,48.0,11.23343527,0.2,,99.005,0.75,,,0.04,,0.05,,,,,,,
1021,470.0,395.0,15.0,40.0,12.68603466,0.2,,99.005,0.75,,,0.04,,0.05,,,,,,,
1022,425.0,235.0,23.0,47.0,11.71763507,0.2,,98.905,0.85,,,0.04,,0.05,,,,,,,
1022,475.0,400.0,15.0,40.0,13.26707441,0.2,,98.905,0.85,,,0.04,,0.05,,,,,,,
1023,385.0,215.0,25.0,50.0,10.74923547,0.22,,99.285,0.45,,,0.04,,0.05,,,,,,,
1023,425.0,360.0,15.0,40.0,11.71763507,0.22,,99.285,0.45,,,0.04,,0.05,,,,,,,
1524,510.0,285.0,20.0,42.0,14.42915392,0.22,,98.235,1.5,,,0.04,,0.05,,,,,,,
1524,565.0,475.0,12.0,35.0,15.78491335,0.22,,98.235,1.5,,,0.04,,0.05,,,,,,,
1025,400.0,220.0,25.0,50.0,11.23343527,0.25,,99.255,0.45,,,0.04,,0.05,,,,,,,
1025,440.0,370.0,15.0,40.0,12.20183486,0.25,,99.255,0.45,,,0.04,,0.05,,,,,,,
1026,440.0,240.0,24.0,49.0,12.20183486,0.25,,98.955,0.75,,,0.04,,0.05,,,,,,,
1527,490.0,415.0,15.0,40.0,13.84811417,0.255,,98.35,1.35,,,0.04,,0.05,,,,,,,
1527,515.0,285.0,18.0,40.0,14.42915392,0.255,,98.35,1.35,,,0.04,,0.05,,,,,,,
1527,570.0,485.0,12.0,35.0,15.78491335,0.255,,98.35,1.35,,,0.04,,0.05,,,,,,,
1030,470.0,260.0,20.0,42.0,13.26707441,0.305,,98.9,0.75,,,0.04,,0.05,,,,,,,
1030,525.0,440.0,12.0,35.0,14.42915392,0.305,,98.9,0.75,,,0.04,,0.05,,,,,,,
1035,495.0,270.0,18.0,40.0,13.84811417,0.345,,98.86,0.75,,,0.04,,0.05,,,,,,,
1035,550.0,460.0,12.0,35.0,15.78491335,0.345,,98.86,0.75,,,0.04,,0.05,,,,,,,
1536,570.0,315.0,16.0,40.0,15.78491335,0.335,,98.27,1.35,,,0.04,,0.05,,,,,,,
1536,635.0,535.0,12.0,35.0,18.10907238,0.335,,98.27,1.35,,,0.04,,0.05,,,,,,,
1037,510.0,280.0,18.0,40.0,13.84811417,0.35,,98.755,0.85,,,0.04,,0.05,,,,,,,
1037,565.0,475.0,12.0,35.0,16.17227319,0.35,,98.755,0.85,,,0.04,,0.05,,,,,,,
1038,515.0,285.0,18.0,40.0,14.42915392,0.38,,98.84,0.75,,,0.04,,0.05,,,,,,,
1038,570.0,485.0,12.0,35.0,15.78491335,0.38,,98.84,0.75,,,0.04,,0.05,,,,,,,
1039,545.0,300.0,16.0,40.0,15.10703364,0.4,,98.705,0.85,,,0.04,,0.05,,,,,,,
1039,605.0,510.0,12.0,35.0,17.3343527,0.4,,98.705,0.85,,,0.04,,0.05,,,,,,,
1040,525.0,290.0,18.0,40.0,14.42915392,0.405,,98.8,0.75,,,0.04,,0.05,,,,,,,
1040,585.0,490.0,12.0,35.0,16.46279307,0.405,,98.8,0.75,,,0.04,,0.05,,,,,,,
1541,635.0,350.0,15.0,40.0,18.10907238,0.4,,98.055,1.5,,,0.04,,0.05,,,,,,,
1541,705.0,600.0,10.0,30.0,20.04587156,0.4,,98.055,1.5,,,0.04,,0.05,,,,,,,
1541,650.0,550.0,10.0,45.0,17.8185525,0.4,,98.055,1.5,,,0.04,,0.05,,,,,,,
1042,550.0,305.0,16.0,40.0,15.78491335,0.435,,98.77,0.75,,,0.04,,0.05,,,,,,,
1043,565.0,310.0,16.0,40.0,15.78491335,0.435,,98.67,0.85,,,0.04,,0.05,,,,,,,
1043,625.0,530.0,12.0,35.0,17.3343527,0.435,,98.67,0.85,,,0.04,,0.05,,,,,,,
1043,600.0,515.0,12.0,45.0,17.3343527,0.435,,98.67,0.85,,,0.04,,0.05,,,,,,,
1044,550.0,305.0,16.0,40.0,15.78491335,0.465,,99.04,0.45,,,0.04,,0.05,,,,,,,
1045,565.0,310.0,16.0,40.0,15.78491335,0.46,,98.745,0.75,,,0.04,,0.05,,,,,,,
1045,625.0,530.0,12.0,35.0,17.3343527,0.46,,98.745,0.75,,,0.04,,0.05,,,,,,,
1045,585.0,505.0,12.0,45.0,16.46279307,0.46,,98.745,0.75,,,0.04,,0.05,,,,,,,
1046,585.0,325.0,15.0,40.0,16.46279307,0.46,,98.645,0.85,,,0.04,,0.05,,,,,,,
1046,650.0,545.0,12.0,35.0,18.10907238,0.46,,98.645,0.85,,,0.04,,0.05,,,,,,,
1046,620.0,515.0,12.0,45.0,17.3343527,0.46,,98.645,0.85,,,0.04,,0.05,,,,,,,
1547,650.0,360.0,15.0,30.0,18.59327217,0.47,,97.985,1.5,,,0.04,,0.05,,,,,,,
1547,710.0,605.0,10.0,28.0,20.04587156,0.47,,97.985,1.5,,,0.04,,0.05,,,,,,,
1547,655.0,585.0,10.0,35.0,18.10907238,0.47,,97.985,1.5,,,0.04,,0.05,,,,,,,
1548,660.0,365.0,14.0,33.0,19.07747197,0.48,,98.265,1.225,,,0.04,,0.05,,,,,,,
1548,735.0,615.0,10.0,28.0,21.01427115,0.48,,98.265,1.225,,,0.04,,0.05,,,,,,,
1548,645.0,540.0,10.0,35.0,18.59327217,0.48,,98.265,1.225,,,0.04,,0.05,,,,,,,
1049,600.0,330.0,15.0,35.0,17.3343527,0.495,,98.71,0.75,,,0.04,,0.05,,,,,,,
1049,670.0,560.0,10.0,30.0,19.07747197,0.495,,98.71,0.75,,,0.04,,0.05,,,,,,,
1049,635.0,530.0,10.0,40.0,18.10907238,0.495,,98.71,0.75,,,0.04,,0.05,,,,,,,
1050,620.0,340.0,15.0,35.0,17.3343527,0.51,,98.69,0.75,,,0.04,,0.05,,,,,,,
1050,690.0,580.0,10.0,30.0,19.07747197,0.51,,98.69,0.75,,,0.04,,0.05,,,,,,,
1050,655.0,550.0,10.0,40.0,18.30275229,0.51,,98.69,0.75,,,0.04,,0.05,,,,,,,
